lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Unincorporated Vic,32,3,5,3,0,6,0,3,3,9,5,3,0,0,0,0,0,9,8,3,3,0,124,43,1243
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Aurukun (S),21,50,29,82,28,27,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118
Balonne (S),140,33,12,41,33,40,37,55,23,34,16,35,10,11,0,13,0,6,0,0,0,0,0,48,1666
Banana (S),282,88,84,130,81,101,71,131,47,155,76,141,51,94,25,60,9,26,3,0,0,0,6,119,5206
Barcaldine (R),94,37,15,43,15,27,11,23,10,14,0,10,0,0,0,3,0,0,0,0,0,0,0,45,1292
Barcoo (S),14,4,12,5,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,190
Blackall-Tambo (R),50,34,12,25,28,35,7,19,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,774
Boulia (S),27,5,3,5,11,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,180
Brisbane (C),2607,1059,1437,4646,2049,3209,2779,3725,2808,4828,4234,9114,7494,14318,12499,16243,8540,26474,10270,4224,2031,989,1518,3882,313353
Bulloo (S),17,5,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,136
Bundaberg (R),363,109,157,393,238,503,525,1048,769,1714,1382,1313,528,596,165,168,41,119,24,24,11,3,24,366,33440
Burdekin (S),179,63,42,90,65,156,147,297,179,244,109,106,37,37,14,19,0,15,9,0,0,0,5,74,6492
Burke (S),14,0,5,7,3,5,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,197
Cairns (R),407,229,232,759,362,855,997,1657,1371,1963,1353,2650,1465,2140,1194,1321,607,1391,367,136,52,23,109,579,46840
Carpentaria (S),65,32,17,36,18,38,44,36,8,16,12,18,0,8,0,0,0,5,0,0,0,0,0,30,962
Cassowary Coast (R),213,45,51,146,119,297,302,494,302,462,266,341,73,147,47,68,16,32,12,16,4,6,20,128,10866
Central Highlands (R),495,677,167,216,125,289,213,400,140,379,168,301,77,172,48,78,13,68,19,11,5,3,11,260,9621
Charters Towers (R),184,33,36,66,39,146,105,171,96,121,47,87,19,37,22,24,4,3,3,0,0,0,5,76,4507
Cherbourg (S),5,19,87,84,52,14,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27
Cloncurry (S),92,60,30,25,20,41,19,32,5,28,15,21,11,21,5,27,6,19,0,0,6,0,0,50,1190
Cook (S),108,85,13,37,32,47,26,36,8,35,25,36,11,33,12,16,0,8,4,4,7,0,12,67,1979
Croydon (S),7,4,0,9,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,153
Diamantina (S),16,7,4,3,3,8,3,0,3,3,8,0,3,0,0,0,0,0,0,0,0,0,0,9,151
Doomadgee (S),8,32,32,66,42,38,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75
Douglas (S),88,30,26,47,27,91,54,156,77,137,99,185,73,128,67,74,24,93,27,8,13,6,128,83,4842
Etheridge (S),24,7,0,9,8,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,615
Flinders (S),37,25,9,15,22,26,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,724
Fraser Coast (R),338,116,110,373,219,533,565,943,1013,1604,1170,1552,787,801,329,205,57,178,39,30,14,0,49,394,36964
Gladstone (R),264,119,139,347,221,552,496,1043,521,1156,550,817,213,404,145,181,32,172,56,26,13,3,11,276,21318
Gold Coast (C),1367,357,405,1311,551,1092,839,1260,1075,2218,2718,5522,4213,7509,6379,8506,5080,13057,4599,1957,862,431,595,1771,165882
Goondiwindi (R),221,45,28,83,47,118,92,152,58,105,80,109,32,45,14,6,16,16,0,3,0,0,8,97,3624
Gympie (R),246,53,74,181,120,282,280,574,480,933,516,605,282,159,51,40,14,36,19,5,6,0,9,178,18220
Hinchinbrook (S),110,37,27,84,77,137,91,139,60,135,51,43,7,13,0,11,0,3,5,0,0,0,4,40,4660
Hope Vale (S),9,59,28,42,26,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,83
Ipswich (C),308,120,177,524,310,529,479,933,1190,3261,2729,3466,3286,3320,1401,1310,461,705,165,39,23,11,30,617,47398
Isaac (R),340,1519,262,240,70,215,125,278,88,256,74,206,23,91,27,70,7,49,12,3,3,0,3,245,6723
Kowanyama (S),10,141,33,20,14,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52
Livingstone (S),171,36,49,96,77,138,77,177,109,289,233,464,216,341,171,242,79,197,27,14,9,6,12,100,13250
Lockhart River (S),17,28,11,34,14,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,99
Lockyer Valley (R),136,19,27,99,53,101,93,227,203,482,436,529,194,241,85,88,11,51,19,12,6,5,6,102,11696
Logan (C),507,262,366,862,474,814,633,862,779,2128,1955,4123,3875,4206,2949,3282,962,1974,463,134,40,20,33,889,77308
Longreach (R),93,39,29,47,16,47,25,64,36,44,33,32,7,21,8,3,3,4,3,0,3,0,5,49,1755
Mackay (R),503,164,167,519,239,699,564,1170,636,1546,1035,1793,606,1220,464,626,136,399,88,30,11,3,16,432,37562
McKinlay (S),38,10,3,8,12,4,6,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,11,412
Mapoon (S),0,8,5,25,9,20,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36
Maranoa (R),228,90,43,71,42,132,85,164,59,155,59,172,45,76,23,33,0,29,11,0,0,5,3,102,4958
Mareeba (S),234,75,54,126,97,191,119,180,81,214,131,203,84,104,47,64,15,38,11,4,3,0,9,77,7515
Moreton Bay (R),697,290,375,1325,575,987,846,1524,1560,3359,3342,5345,4857,7157,3481,4064,1631,3114,849,313,112,38,66,1177,119902
Mornington (S),18,53,24,56,32,23,11,3,3,3,0,5,3,0,0,0,0,0,0,0,0,0,3,16,73
Mount Isa (C),207,193,63,122,84,151,129,219,88,195,106,230,80,188,89,196,35,282,76,21,6,3,6,150,5684
Murweh (S),73,63,13,31,33,65,47,73,26,40,4,12,3,7,0,0,0,4,0,6,0,0,0,36,1785
Napranum (S),4,21,26,67,37,44,9,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,44
Noosa (S),197,30,42,147,47,110,77,191,127,179,172,397,273,451,333,502,261,921,356,174,79,35,92,152,21591
North Burnett (R),157,59,45,157,61,136,107,144,64,87,27,25,0,0,0,3,0,3,0,0,0,0,0,78,4496
Northern Peninsula Area (R),23,97,75,155,112,97,36,15,0,3,0,3,0,3,0,0,0,0,0,0,0,4,4,34,329
Palm Island (S),16,62,60,123,62,80,29,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,72
Paroo (S),37,25,28,49,15,25,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,704
Pormpuraaw (S),13,64,31,47,23,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82
Quilpie (S),18,13,3,17,22,15,4,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,319
Redland (C),260,123,147,502,188,351,340,436,385,448,220,572,584,1077,1094,1299,725,2863,599,184,74,47,71,405,46834
Richmond (S),38,17,0,14,7,14,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,368
Rockhampton (R),333,149,169,405,200,445,394,970,615,1308,893,1497,513,743,234,254,56,176,50,24,9,4,15,332,25153
Scenic Rim (R),247,38,27,94,53,121,110,263,159,346,287,402,216,351,154,136,45,193,63,27,4,4,13,128,13361
Somerset (R),145,20,16,41,24,102,79,202,156,294,330,339,160,127,28,33,15,30,10,5,0,0,8,72,8201
South Burnett (R),236,92,72,175,110,318,318,578,402,469,192,260,90,83,23,12,0,6,13,0,6,0,14,110,11695
Southern Downs (R),231,52,48,129,169,305,286,505,462,641,303,276,113,85,23,34,8,14,6,3,0,4,14,121,12579
Sunshine Coast (R),801,179,334,902,350,599,567,892,696,1331,1347,2965,2119,2950,2268,3435,1953,5665,1557,524,189,92,126,842,97684
Tablelands (R),188,47,42,112,81,192,147,320,166,358,252,276,84,129,48,39,7,19,7,3,3,3,8,125,9608
Toowoomba (R),591,168,226,620,365,671,826,1571,1256,2258,2014,2434,1365,1401,720,650,275,487,94,34,11,7,13,524,49904
Torres (S),84,126,19,39,26,29,22,31,26,44,25,46,25,14,6,11,4,16,8,3,3,6,3,74,497
Torres Strait Island (R),29,191,101,233,59,205,38,3,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,64,308
